cluster_id,type,task_count,total_exec_cost,total_comm_volume,avg_affinity,max_criticality,primary_chiplet,spill_count
119,COMM_HEAVY,1,2811,0,0.0000,MEDIUM,0,0
120,COMM_HEAVY,1,2711,0,0.0000,MEDIUM,1,0
121,COMM_HEAVY,1,2464,0,0.0000,HIGH,2,0
122,COMM_HEAVY,1,2693,0,0.0000,HIGH,3,0
123,COMM_HEAVY,4,9562,267,0.6138,HIGH,4,0
124,COMM_HEAVY,1,2295,0,0.0000,MEDIUM,5,0
125,COMM_HEAVY,1,3979,0,0.0000,MEDIUM,6,0
126,COMM_HEAVY,1,2151,0,0.0000,MEDIUM,0,0
127,COMM_HEAVY,1,3778,0,0.0000,MEDIUM,1,0
128,COMM_HEAVY,1,2527,0,0.0000,MEDIUM,2,0
129,COMM_HEAVY,1,2939,0,0.0000,MEDIUM,3,0
130,COMM_HEAVY,1,2252,0,0.0000,MEDIUM,4,0
131,COMM_HEAVY,1,3971,0,0.0000,MEDIUM,5,0
132,COMM_HEAVY,1,3290,0,0.0000,MEDIUM,6,0
133,COMM_HEAVY,1,2705,0,0.0000,MEDIUM,0,0
134,COMM_HEAVY,1,3907,0,0.0000,MEDIUM,1,0
135,COMM_HEAVY,1,3857,0,0.0000,MEDIUM,2,0
136,COMM_HEAVY,1,3532,0,0.0000,MEDIUM,3,0
137,COMM_HEAVY,1,2870,0,0.0000,MEDIUM,4,0
138,COMM_HEAVY,1,3867,0,0.0000,MEDIUM,5,0
139,COMM_HEAVY,1,2785,0,0.0000,MEDIUM,6,0
140,COMM_HEAVY,1,3273,0,0.0000,MEDIUM,0,0
141,COMM_HEAVY,1,3918,0,0.0000,MEDIUM,1,0
142,COMM_HEAVY,1,2043,0,0.0000,MEDIUM,2,0
143,COMM_HEAVY,1,2901,0,0.0000,MEDIUM,3,0
144,COMM_HEAVY,1,2996,0,0.0000,MEDIUM,4,0
145,COMM_HEAVY,1,3506,0,0.0000,MEDIUM,5,0
146,COMM_HEAVY,1,3333,0,0.0000,MEDIUM,6,0
147,COMM_HEAVY,1,3357,0,0.0000,MEDIUM,0,0
148,COMM_HEAVY,1,3135,0,0.0000,MEDIUM,1,0
149,COMM_HEAVY,1,2010,0,0.0000,MEDIUM,2,0
150,COMM_HEAVY,1,2552,0,0.0000,MEDIUM,3,0
151,COMM_HEAVY,1,3742,0,0.0000,MEDIUM,4,0
152,COMM_HEAVY,1,2003,0,0.0000,MEDIUM,5,0
153,COMM_HEAVY,1,2395,0,0.0000,MEDIUM,6,0
154,COMM_HEAVY,1,2345,0,0.0000,MEDIUM,0,0
155,COMM_HEAVY,1,3111,0,0.0000,MEDIUM,1,0
156,COMM_HEAVY,1,3212,0,0.0000,MEDIUM,2,0
157,COMM_HEAVY,1,3052,0,0.0000,MEDIUM,3,0
158,COMM_HEAVY,1,2554,0,0.0000,MEDIUM,4,0
159,COMM_HEAVY,1,3384,0,0.0000,MEDIUM,5,0
160,COMM_HEAVY,1,2478,0,0.0000,MEDIUM,6,0
161,COMM_HEAVY,1,2177,0,0.0000,MEDIUM,0,0
162,COMM_HEAVY,1,3881,0,0.0000,MEDIUM,1,0
163,COMM_HEAVY,1,3116,0,0.0000,HIGH,2,0
164,COMM_HEAVY,1,3879,0,0.0000,HIGH,3,0
165,COMM_HEAVY,1,3680,0,0.0000,HIGH,4,0
166,COMM_HEAVY,4,8364,276,0.6152,HIGH,5,0
167,COMM_HEAVY,1,3941,0,0.0000,MEDIUM,6,0
168,COMM_HEAVY,1,3849,0,0.0000,MEDIUM,0,0
169,COMM_HEAVY,1,2986,0,0.0000,MEDIUM,1,0
170,COMM_HEAVY,1,2995,0,0.0000,MEDIUM,2,0
171,COMM_HEAVY,1,2434,0,0.0000,MEDIUM,3,0
172,COMM_HEAVY,1,3570,0,0.0000,MEDIUM,4,0
173,COMM_HEAVY,1,2639,0,0.0000,MEDIUM,5,0
174,COMM_HEAVY,1,2962,0,0.0000,MEDIUM,6,0
175,COMM_HEAVY,1,2585,0,0.0000,MEDIUM,0,0
176,COMM_HEAVY,1,3481,0,0.0000,MEDIUM,1,0
177,COMM_HEAVY,1,3149,0,0.0000,MEDIUM,2,0
178,COMM_HEAVY,1,3455,0,0.0000,MEDIUM,3,0
179,COMM_HEAVY,1,3883,0,0.0000,MEDIUM,4,0
180,COMM_HEAVY,1,2506,0,0.0000,MEDIUM,5,0
181,COMM_HEAVY,1,3014,0,0.0000,MEDIUM,6,0
182,COMM_HEAVY,1,2618,0,0.0000,MEDIUM,0,0
183,COMM_HEAVY,1,3388,0,0.0000,MEDIUM,1,0
184,COMM_HEAVY,1,3637,0,0.0000,MEDIUM,2,0
185,COMM_HEAVY,1,3733,0,0.0000,MEDIUM,3,0
186,COMM_HEAVY,1,3470,0,0.0000,MEDIUM,4,0
187,COMM_HEAVY,1,3843,0,0.0000,MEDIUM,5,0
188,COMM_HEAVY,1,2881,0,0.0000,MEDIUM,6,0
