task_id,name,type,criticality,exec_time,actual_duration,deadline,release_time,mem_io_penalty,data_ready_cycle,wait_cycles,slack_time,cluster_id,assigned_chiplet,assigned_core,replica_core,start_cycle,finish_cycle,state
3367,price_opt51_path38,COMPUTE_HEAVY,MEDIUM,3290,3290,100000,0,0,862,207299,-1,1143,2,2,-1,208130,211420,COMPLETED
3368,price_opt51_path39,COMPUTE_HEAVY,MEDIUM,3484,3484,100000,0,0,864,217432,-1,1092,0,1,-1,218263,221747,COMPLETED
3369,price_opt51_path40,COMPUTE_HEAVY,MEDIUM,2080,2080,100000,0,0,1162,371184,-1,3027,4,0,-1,372315,374395,COMPLETED
3370,price_opt51_path41,COMPUTE_HEAVY,MEDIUM,3438,3438,100000,0,0,861,306272,-1,3022,4,1,-1,307103,310541,COMPLETED
3371,price_opt51_path42,COMPUTE_HEAVY,MEDIUM,2705,2705,100000,0,0,1164,378297,-1,963,4,3,-1,379428,382133,COMPLETED
3372,price_opt51_path43,COMPUTE_HEAVY,MEDIUM,2125,2125,100000,0,0,1162,386775,-1,3013,5,2,-1,387906,390031,COMPLETED
3373,price_opt51_path44,COMPUTE_HEAVY,MEDIUM,2496,2496,100000,0,0,866,318216,-1,869,1,3,-1,319047,321543,COMPLETED
3374,price_opt51_path45,COMPUTE_HEAVY,MEDIUM,3224,3224,100000,0,0,861,325565,-1,3005,1,1,-1,326396,329620,COMPLETED
3375,price_opt51_path46,COMPUTE_HEAVY,MEDIUM,2943,2943,100000,0,0,1163,275193,-1,779,2,3,-1,276324,279267,COMPLETED
3376,price_opt51_path47,COMPUTE_HEAVY,MEDIUM,2528,2528,100000,0,0,865,336306,-1,731,3,0,-1,337137,339665,COMPLETED
3377,price_opt51_path48,COMPUTE_HEAVY,MEDIUM,3404,3404,100000,0,0,1161,395410,-1,2994,6,3,-1,396541,399945,COMPLETED
3378,price_opt51_path49,COMPUTE_HEAVY,MEDIUM,2149,2149,100000,0,0,866,339089,-1,638,1,1,-1,339920,342069,COMPLETED
3379,price_opt51_path50,COMPUTE_HEAVY,MEDIUM,2421,2421,100000,0,0,1163,409036,-1,593,5,3,-1,410167,412588,COMPLETED
3380,price_opt51_path51,COMPUTE_HEAVY,MEDIUM,3817,3817,100000,0,0,1166,416003,-1,540,1,3,-1,417134,420951,COMPLETED
3381,price_opt51_path52,COMPUTE_HEAVY,MEDIUM,3287,3287,100000,0,0,864,246863,-1,490,0,0,-1,247694,250981,COMPLETED
3382,price_opt51_path53,COMPUTE_HEAVY,MEDIUM,3451,3451,100000,0,0,863,352216,-1,442,1,1,-1,353047,356498,COMPLETED
3383,price_opt51_path54,COMPUTE_HEAVY,MEDIUM,3521,3521,100000,0,0,866,367088,-1,397,5,0,-1,367919,371440,COMPLETED
3384,price_opt51_path55,COMPUTE_HEAVY,MEDIUM,3659,3659,100000,0,0,1463,454619,-1,354,4,3,-1,456050,459709,COMPLETED
3385,price_opt51_path56,COMPUTE_HEAVY,MEDIUM,2153,2153,100000,0,0,1165,418482,-1,307,6,0,-1,419613,421766,COMPLETED
3386,price_opt51_path57,COMPUTE_HEAVY,MEDIUM,3366,3366,100000,0,0,1461,469869,-1,2958,5,3,-1,471300,474666,COMPLETED
3387,price_opt51_path58,COMPUTE_HEAVY,MEDIUM,2981,2981,100000,0,0,1161,426853,-1,2954,6,3,-1,427984,430965,COMPLETED
3388,price_opt51_path59,COMPUTE_HEAVY,MEDIUM,3149,3149,100000,0,0,1162,305901,-1,177,2,0,-1,307032,310181,COMPLETED
3389,price_opt51_path60,COMPUTE_HEAVY,MEDIUM,3290,3290,100000,0,0,1165,440741,-1,132,6,2,-1,441872,445162,COMPLETED
3390,price_opt51_path61,COMPUTE_HEAVY,MEDIUM,3866,3866,100000,0,0,1166,455359,-1,92,1,1,-1,456490,460356,COMPLETED
3391,price_opt51_path62,COMPUTE_HEAVY,MEDIUM,2093,2093,100000,0,0,562,143762,-1,51,2,3,-1,144293,146386,COMPLETED
3392,price_opt51_path63,COMPUTE_HEAVY,MEDIUM,2473,2473,100000,0,0,1465,327623,-1,9,2,2,-1,329054,331527,COMPLETED
3393,price_opt52_path0,COMPUTE_HEAVY,MEDIUM,3239,3239,100000,0,0,563,6425,-1,2896,5,0,-1,6956,10195,COMPLETED
3394,price_opt52_path1,COMPUTE_HEAVY,MEDIUM,3896,3896,100000,0,0,566,14847,-1,2846,4,2,-1,15378,19274,COMPLETED
3395,price_opt52_path2,COMPUTE_HEAVY,MEDIUM,3234,3234,100000,0,0,564,15808,-1,2800,0,3,-1,16339,19573,COMPLETED
3396,price_opt52_path3,COMPUTE_HEAVY,MEDIUM,2204,2204,100000,0,0,561,30624,-1,3175,1,2,-1,31155,33359,COMPLETED
3397,price_opt52_path4,COMPUTE_HEAVY,MEDIUM,3959,3959,100000,0,0,564,26678,-1,2709,0,2,-1,27209,31168,COMPLETED
3398,price_opt52_path5,COMPUTE_HEAVY,MEDIUM,3743,3743,100000,0,0,561,41536,-1,3166,3,3,-1,42067,45810,COMPLETED
3399,price_opt52_path6,COMPUTE_HEAVY,MEDIUM,3191,3191,100000,0,0,563,49481,-1,2614,3,3,-1,50012,53203,COMPLETED
3400,price_opt52_path7,COMPUTE_HEAVY,MEDIUM,2891,2891,100000,0,0,566,43737,-1,2562,0,1,-1,44268,47159,COMPLETED
