cluster_id,type,task_count,total_exec_cost,total_comm_volume,avg_affinity,max_criticality,primary_chiplet,spill_count
131,COMM_HEAVY,4,26876,1158,0.6579,MEDIUM,5,0
132,COMM_HEAVY,4,29237,1073,0.6763,MEDIUM,6,0
133,COMM_HEAVY,4,27289,1214,0.7397,MEDIUM,0,0
134,COMM_HEAVY,4,21052,1322,0.7602,MEDIUM,1,0
135,COMM_HEAVY,4,23358,1246,0.7351,MEDIUM,2,0
136,COMM_HEAVY,4,19725,1105,0.6822,MEDIUM,3,0
137,COMM_HEAVY,1,8861,0,0.0000,MEDIUM,4,0
138,COMM_HEAVY,4,21176,1255,0.7392,MEDIUM,5,0
139,COMM_HEAVY,4,30360,1274,0.8043,MEDIUM,6,0
140,COMM_HEAVY,4,29392,1362,0.8238,MEDIUM,0,0
141,COMM_HEAVY,4,18006,1432,0.7947,MEDIUM,1,0
142,COMM_HEAVY,4,26252,1256,0.7463,MEDIUM,2,0
143,COMM_HEAVY,4,22448,1257,0.7508,MEDIUM,3,0
144,COMM_HEAVY,4,13407,1157,0.6609,MEDIUM,4,0
145,COMM_HEAVY,4,23487,1258,0.7836,MEDIUM,5,0
146,COMM_HEAVY,2,14114,465,0.8475,MEDIUM,6,0
147,COMM_HEAVY,4,32815,1167,0.7765,MEDIUM,0,0
148,COMM_HEAVY,4,20009,1192,0.7383,MEDIUM,1,0
149,COMM_HEAVY,4,28764,1066,0.7191,MEDIUM,2,0
150,COMM_HEAVY,1,2685,0,0.0000,MEDIUM,3,0
151,COMM_HEAVY,4,24136,1241,0.7530,MEDIUM,4,0
152,COMM_HEAVY,4,20350,1446,0.8339,MEDIUM,5,0
153,COMM_HEAVY,4,27333,1279,0.7887,MEDIUM,6,0
154,COMM_HEAVY,4,26183,1199,0.7411,MEDIUM,0,0
155,COMM_HEAVY,4,30619,1186,0.7698,MEDIUM,1,0
156,COMM_HEAVY,4,13402,1270,0.6822,MEDIUM,2,0
157,COMM_HEAVY,4,20806,1183,0.7073,MEDIUM,3,0
158,COMM_HEAVY,4,16675,1281,0.6933,MEDIUM,4,0
159,COMM_HEAVY,4,20639,1330,0.6761,MEDIUM,5,0
160,COMM_HEAVY,4,19828,1288,0.7016,MEDIUM,6,0
161,COMM_HEAVY,4,19100,1348,0.6990,MEDIUM,0,0
162,COMM_HEAVY,4,25826,1074,0.6809,MEDIUM,1,0
163,COMM_HEAVY,4,17268,1106,0.5742,MEDIUM,2,0
164,COMM_HEAVY,4,21460,1157,0.7049,MEDIUM,3,0
165,COMM_HEAVY,4,24578,1271,0.7702,MEDIUM,4,0
166,COMM_HEAVY,4,20180,1415,0.7899,MEDIUM,5,0
167,COMM_HEAVY,4,20033,1180,0.6662,MEDIUM,6,0
168,COMM_HEAVY,4,24413,1275,0.7447,MEDIUM,0,0
169,COMM_HEAVY,4,25508,1157,0.6463,MEDIUM,1,0
170,COMM_HEAVY,4,27832,1122,0.7471,MEDIUM,2,0
171,COMM_HEAVY,4,25950,1167,0.6869,MEDIUM,3,0
172,COMM_HEAVY,4,25598,1147,0.7208,MEDIUM,4,0
173,COMM_HEAVY,4,23061,1190,0.6587,MEDIUM,5,0
174,COMM_HEAVY,4,18387,1202,0.6945,MEDIUM,6,0
175,COMM_HEAVY,4,34411,1182,0.8032,MEDIUM,0,0
176,COMM_HEAVY,4,28028,967,0.6507,MEDIUM,1,0
177,COMM_HEAVY,4,19847,1467,0.8005,MEDIUM,2,0
178,COMM_HEAVY,4,25314,1137,0.6839,MEDIUM,3,0
